State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Haryana,Jind,Narwana,Cucumbar(Kheera),Cucumbar,FAQ,09/06/2025,1500,2000,1750,159
Haryana,Jind,Narwana,Cucumbar(Kheera),Cucumbar,FAQ,15/06/2025,2000,2500,2250,159
Haryana,Jind,Narwana,Cucumbar(Kheera),Cucumbar,FAQ,28/06/2025,2000,2000,2000,159
Haryana,Jind,Narwana,Karbuja(Musk Melon),Karbhuja,Medium,01/06/2025,1000,1000,1000,187
Haryana,Jind,Narwana,Karbuja(Musk Melon),Karbhuja,Medium,14/06/2025,1500,1500,1500,187
Haryana,Jind,Narwana,Pomegranate,Other,Medium,13/06/2025,15000,15000,15000,190
Haryana,Jind,Narwana,Pomegranate,Other,Medium,17/06/2025,15000,15000,15000,190
Haryana,Jind,Narwana,Pomegranate,Other,Medium,22/06/2025,15000,15000,15000,190
Haryana,Jind,Narwana,Pomegranate,Other,Medium,27/06/2025,15000,15000,15000,190
Haryana,Jind,Narwana,Mango,Other,Medium,03/08/2025,6000,7000,6500,20
Haryana,Jind,Narwana,Mango,Other,Medium,12/08/2025,7000,7000,7000,20
Haryana,Jind,Narwana,Mango,Other,Medium,15/08/2025,8000,8000,8000,20
Haryana,Jind,Narwana,Banana,Other,Medium,10/08/2025,1600,1600,1600,19
Haryana,Jind,Narwana,Banana,Other,Medium,13/08/2025,1600,1600,1600,19
Haryana,Jind,Narwana,Banana,Other,Medium,20/08/2025,1600,1600,1600,19
Haryana,Jind,Narwana,Banana,Other,Medium,26/08/2025,1600,1600,1600,19
Haryana,Jind,Narwana,Chikoos(Sapota),Other,Medium,22/08/2025,4000,4000,4000,71
Haryana,Jind,Narwana,Cabbage,Cabbage,FAQ,06/08/2025,2500,2500,2500,154
Haryana,Jind,Narwana,Cauliflower,Cauliflower,FAQ,17/09/2025,3500,3500,3500,34
Haryana,Jind,Narwana,Paddy(Dhan)(Basmati),1121,FAQ,18/09/2025,2550,3200,3050,414
Haryana,Jind,Narwana,Paddy(Dhan)(Basmati),1121,FAQ,30/09/2025,2850,3100,2950,414
Haryana,Jind,Narwana,Apple,Other,Medium,01/09/2025,10000,10000,10000,17
Haryana,Jind,Narwana,Apple,Other,Medium,08/09/2025,5000,10000,8500,17
Haryana,Jind,Narwana,Apple,Other,Medium,21/09/2025,3000,8000,5500,17
Haryana,Jind,Narwana,Apple,Other,Medium,23/09/2025,3500,8800,5500,17
Haryana,Jind,Narwana,Apple,Other,Medium,24/09/2025,3500,10000,8500,17
Haryana,Jind,Narwana,Mousambi(Sweet Lime),Other,Medium,03/09/2025,3000,3500,3250,77
Haryana,Jind,Narwana,Mousambi(Sweet Lime),Other,Medium,04/09/2025,3000,3000,3000,77
Haryana,Jind,Narwana,Mousambi(Sweet Lime),Other,Medium,12/09/2025,3500,3500,3500,77
Haryana,Jind,Narwana,Mousambi(Sweet Lime),Other,Medium,13/09/2025,3500,3500,3500,77
Haryana,Jind,Narwana,Mousambi(Sweet Lime),Other,Medium,14/09/2025,3500,3500,3500,77
Haryana,Jind,Narwana,Mousambi(Sweet Lime),Other,Medium,16/09/2025,3500,3500,3500,77
Haryana,Jind,Narwana,Mousambi(Sweet Lime),Other,Medium,24/09/2025,3500,3500,3500,77
Haryana,Jind,Narwana,Mousambi(Sweet Lime),Other,Medium,26/09/2025,3500,3500,3500,77
Haryana,Jind,Narwana,Mousambi(Sweet Lime),Other,Medium,27/09/2025,3500,3500,3500,77
Haryana,Jind,Narwana,Mousambi(Sweet Lime),Other,Medium,29/09/2025,3500,3500,3500,77
Haryana,Jind,Narwana,Chikoos(Sapota),Other,Medium,07/09/2025,5000,5000,5000,71
Haryana,Jind,Narwana,Chikoos(Sapota),Other,Medium,12/09/2025,3500,3500,3500,71
Haryana,Jind,Narwana,Bhindi(Ladies Finger),Bhindi,FAQ,02/09/2025,3500,3500,3500,85
Haryana,Jind,Narwana,Bhindi(Ladies Finger),Bhindi,FAQ,17/09/2025,5000,5000,5000,85
Haryana,Jind,Narwana,Potato,Other,FAQ,04/09/2025,1200,1200,1200,24
Haryana,Jind,Narwana,Potato,Other,FAQ,13/09/2025,1000,1000,1000,24
Haryana,Jind,Narwana,Potato,Other,FAQ,14/09/2025,1000,1000,1000,24
Haryana,Jind,Narwana,Potato,Other,FAQ,21/09/2025,1000,1000,1000,24
Haryana,Jind,Narwana,Potato,Other,FAQ,29/09/2025,1000,1000,1000,24
Haryana,Jind,Narwana,Onion,Other,FAQ,03/09/2025,1800,1800,1800,23
